Time Step,1892,184341737291ns,97432207ns,6153449ns,1121680407ns
Parallel Broadcast,434212,67070186127ns,154464ns,70ns,1850667ns
Boundary,211430,225623841ns,1067ns,870ns,89530ns
dot Product,207646,30228378279ns,145576ns,133619ns,2096646ns
Sequential Broadcast,1485686,20848206039ns,14032ns,139ns,2242706ns
Residual Calculation,207646,17110921378ns,82404ns,68070ns,1047898ns
Reduction,415292,66831917820ns,160927ns,132859ns,559079ns
Halo,3784,23879232ns,6310ns,2780ns,48430ns
MPI Communication Init,213322,322096731ns,1509ns,840ns,89310ns
MPI Communication Wait,213322,1567200540ns,7346ns,900ns,504159ns
A dot Product,207646,40082827772ns,193034ns,168040ns,744129ns
CG Iteration,207646,167776759266ns,807994ns,530959ns,2157045ns
Compute dt,1892,6797900572ns,3592970ns,296349ns,664366329ns
Pressure Solver,1892,170733989821ns,90239952ns,2101026ns,1110712184ns
